id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
246684,"Smartphone Inc.",2018,422,7.052,7.57751,6520,0,,,,,,251,,
260428,"Fall of Rome",2018,423,7.05118,7.61964,6398,0,,,,,,263,,
25554,"Notre Dame",2007,424,7.04998,7.31313,13459,0,,,,,,289,,
24480,"The Pillars of the Earth",2006,425,7.04982,7.26202,18022,0,,,,,,307,,
311988,"Frostpunk: The Board Game",2022,426,7.04778,8.22683,3455,0,,,,,,231,49,
269210,"Twice as Clever!",2019,427,7.04708,7.43297,9233,0,,,,86,,,,
350933,"The Guild of Merchant Explorers",2022,428,7.04651,7.68922,5245,0,,,,69,,245,,
101721,"Mage Wars Arena",2012,429,7.04498,7.57533,7912,0,,17,,,,,,
385761,Faraway,2023,430,7.04475,7.59936,6672,0,,,,79,,,,
39683,"At the Gates of Loyang",2009,431,7.04238,7.3556,11314,0,,,,,,290,,
250458,Gùgōng,2018,432,7.04159,7.43616,9092,0,,,,,,279,,
195539,"The Godfather: Corleone's Empire",2017,433,7.03997,7.52327,7859,0,,,,,,284,,
9217,"Saint Petersburg",2004,434,7.03889,7.27128,16161,0,,,,,,311,,
379078,Expeditions,2023,435,7.03872,7.66172,6108,0,,,,,,273,,
342070,"Thunder Road: Vendetta",2023,436,7.03838,7.95819,3820,0,,,,70,,,62,
349067,"The Lord of the Rings: The Card Game – Revised Core Set",2022,437,7.0358,8.47015,2742,0,,7,,,,,,
15987,"Arkham Horror",2005,438,7.02669,7.23858,39720,0,,,,,,,144,
70323,"King of Tokyo",2011,439,7.0265,7.12866,71858,0,,,,127,,,,
258210,"Blitzkrieg!: World War Two in 20 Minutes",2019,440,7.02571,7.58316,6027,0,,,,,,271,,68
1,"Die Macher",1986,441,7.02554,7.59254,5842,0,,,,,,253,,
215311,Downforce,2017,442,7.02537,7.28472,14182,0,,,,104,,,,
342810,Marrakesh,2022,443,7.02295,8.14357,3004,0,,,,,,223,,
284742,"Honey Buzz",2020,444,7.02214,7.54945,6891,0,,,,87,,301,,
